Date,Open,High,Low,Close,Adj Close,Volume
1996-07-01,3210.699951,3210.699951,2808.899902,3007.199951,3007.199951,0
1996-08-01,3007.199951,3454.300049,3007.000000,3305.500000,3305.500000,0
1996-09-01,3305.500000,3380.600098,3203.199951,3236.300049,3236.300049,0
1996-10-01,3236.300049,3396.699951,3134.699951,3213.300049,3213.300049,0
1996-11-01,3213.300049,3423.800049,3212.800049,3277.399902,3277.399902,0
1996-12-01,3292.300049,3421.199951,3166.699951,3361.000000,3361.000000,0
1997-01-01,3361.000000,3763.800049,3335.500000,3647.100098,3647.100098,0
1997-02-01,3647.199951,3960.100098,3610.899902,3841.000000,3841.000000,0
1997-03-01,3840.899902,3869.500000,3727.399902,3748.000000,3748.000000,0
1997-04-01,3748.000000,3871.699951,3684.300049,3756.600098,3756.600098,0
1997-05-01,3756.600098,4014.000000,3737.300049,3968.800049,3968.800049,0
1997-06-01,3968.800049,4505.399902,3964.600098,4458.000000,4458.000000,0
1997-07-01,4458.000000,5127.700195,4453.000000,5067.799805,5067.799805,0
1997-08-01,5058.399902,5272.899902,4618.000000,4648.399902,4648.399902,0
1997-09-01,4649.500000,5329.899902,4649.500000,5321.500000,5321.500000,0
1997-10-01,5320.600098,5396.100098,3858.100098,4647.799805,4647.799805,0
1997-11-01,4649.299805,4974.600098,4234.399902,4974.600098,4974.600098,0
1997-12-01,4974.600098,5229.399902,4862.000000,5229.399902,5229.399902,0
1998-01-01,5229.399902,5229.399902,4461.899902,4569.399902,4569.399902,0
1998-02-01,4569.399902,4830.299805,4447.600098,4784.500000,4784.500000,0
1998-03-01,4784.500000,5118.899902,4666.500000,5016.200195,5016.200195,0
1998-04-01,5016.200195,5238.799805,4854.799805,5098.529785,5098.529785,0
1998-05-01,5098.529785,5103.529785,4326.560059,4530.009766,4530.009766,0
1998-06-01,4527.370117,4669.220215,4046.590088,4282.620117,4282.620117,0
1998-07-01,4287.000000,4727.899902,4242.410156,4244.959961,4244.959961,0
1998-08-01,4244.189941,4244.189941,2964.649902,2991.929932,2991.929932,0
1998-09-01,2993.929932,3989.860107,2844.719971,3569.879883,3569.879883,0
1998-10-01,3568.719971,4097.959961,3270.760010,4074.860107,4074.860107,0
