DATE,LCEAMN01MXM661S
1989-08-01,6.14284514458906
1989-09-01,6.31094059796568
1989-10-01,6.79609862076267
1989-11-01,6.58038534174516
1989-12-01,6.7629937633725
1990-01-01,6.9393450994721
1990-02-01,7.0806481484806
1990-03-01,7.19204095429263
1990-04-01,7.47660187214416
1990-05-01,7.57583095377155
1990-06-01,7.72161453259962
1990-07-01,7.94602795980656
1990-08-01,8.1533705653941
1990-09-01,8.35014879401405
1990-10-01,8.56616664122432
1990-11-01,8.75460922673074
1990-12-01,8.99380135269502
1991-01-01,9.1458984228334
1991-02-01,9.28329088221503
1991-03-01,9.57574112332152
1991-04-01,9.58266263466359
1991-05-01,9.93223134982167
1991-06-01,10.2600026770837
1991-07-01,10.3278361846162
1991-08-01,10.5256390153485
1991-09-01,10.5833422000685
1991-10-01,10.8332917062367
1991-11-01,11.090920234294
1991-12-01,11.9020513174638
1992-01-01,11.4985485599825
1992-02-01,11.8756851762885
1992-03-01,11.991383981045
1992-04-01,12.5103852283854
1992-05-01,12.5954103903707
1992-06-01,12.6713639821326
1992-07-01,12.8553399802208
1992-08-01,13.1262209983441
1992-09-01,13.5539448197848
1992-10-01,13.6234845568626
1992-11-01,13.7053365079342
1992-12-01,13.9926922125092
1993-01-01,13.9981700542306
1993-02-01,14.0694974205416
1993-03-01,14.2937357796305
1993-04-01,14.304774632242
1993-05-01,14.4912540988263
1993-06-01,14.7378447138666
1993-07-01,14.9522451548168
1993-08-01,15.0993315437249
1993-09-01,15.105602585908
1993-10-01,15.3320695729261
1993-11-01,15.6016106141843
1993-12-01,15.5316690709134
1994-01-01,15.786644464864
1994-02-01,15.8895021183136
1994-03-01,16.1229771701007
1994-04-01,15.9923759167617
1994-05-01,16.1945071309156
1994-06-01,16.3011996584215
1994-07-01,16.4386358583775
1994-08-01,16.606498422966
1994-09-01,16.7124500566383
1994-10-01,17.0445751422474
1994-11-01,17.1351212763476
1994-12-01,17.6814375927545
1995-01-01,17.6759096838592
1995-02-01,17.9838240304009
1995-03-01,17.8771817568645
1995-04-01,18.7252713220789
1995-05-01,18.909173986451
1995-06-01,19.2316788553994
1995-07-01,19.7614451180117
1995-08-01,19.7687705502506
1995-09-01,20.4023980543756
1995-10-01,20.5478914882263
1995-11-01,20.7085741024165
1995-12-01,21.0493883799347
1996-01-01,21.5808773443411
1996-02-01,21.8454551864856
1996-03-01,22.5371079775077
1996-04-01,22.4688991467372
1996-05-01,22.8909495651655
1996-06-01,23.3926846648544
1996-07-01,23.5976824138723
1996-08-01,24.2613772392728
1996-09-01,24.4611126785819
1996-10-01,24.7566300321786
1996-11-01,25.3922634851374
1996-12-01,25.793947449407
1997-01-01,26.0165174293817
1997-02-01,26.5037001717608
1997-03-01,26.8915964077784
1997-04-01,27.3549395937873
1997-05-01,27.9404448265449
1997-06-01,28.132577683875
1997-07-01,28.5027975340449
1997-08-01,28.6481143892647
1997-09-01,29.1016477318091
1997-10-01,29.6515528852145
1997-11-01,30.1504393582779
1997-12-01,30.4458360635096
1998-01-01,31.0431049204103
1998-02-01,31.6496718221896
1998-03-01,31.9971028947354
1998-04-01,32.4186445008202
1998-05-01,32.7166059655775
1998-06-01,33.2729256914149
1998-07-01,33.8322980236807
1998-08-01,34.6648876065687
1998-09-01,35.0223555288637
1998-10-01,35.5681054985022
1998-11-01,35.8413899220812
1998-12-01,36.2775201921579
1999-01-01,37.096443664909
1999-02-01,37.6433608973147
1999-03-01,38.3470344750572
1999-04-01,38.3708837392735
1999-05-01,39.2287714333474
1999-06-01,39.6004930850091
1999-07-01,40.125187574917
1999-08-01,40.2386185690436
1999-09-01,40.9556399201506
1999-10-01,41.6066410838244
1999-11-01,42.1908771195035
1999-12-01,42.5380515659482
2000-01-01,43.1177709254534
2000-02-01,43.6072794307062
2000-03-01,44.0085548451733
2000-04-01,45.3793103708699
2000-05-01,45.4023083837085
2000-06-01,45.7916286440003
2000-07-01,46.3045584753121
2000-08-01,47.4505075364673
2000-09-01,47.4375704789887
2000-10-01,47.8669777331393
2000-11-01,48.2589777368177
2000-12-01,48.8858965222353
2001-01-01,49.7186505208044
2001-02-01,50.2721808685957
2001-03-01,50.7000520464969
2001-04-01,50.7905958570484
2001-05-01,51.3120592980039
2001-06-01,52.470799992892
2001-07-01,52.8027241444266
2001-08-01,52.708900002516
2001-09-01,53.5281387416434
2001-10-01,53.7610297373458
2001-11-01,54.7223744858989
2001-12-01,55.4428076910636
2002-01-01,54.5124003495744
2002-02-01,54.8196460613914
2002-03-01,54.995245666811
2002-04-01,55.8311077987487
2002-05-01,55.9100906673555
2002-06-01,55.8041166478412
2002-07-01,56.1349418013521
2002-08-01,56.5452968007578
2002-09-01,56.8438484751855
2002-10-01,57.206796485703
2002-11-01,57.3187214634908
2002-12-01,58.0297900127348
2003-01-01,58.0273792317217
2003-02-01,58.2278582258548
2003-03-01,58.6434963959534
2003-04-01,58.4527928216841
2003-05-01,59.1750745827237
2003-06-01,59.5313827603485
2003-07-01,59.7522298513491
2003-08-01,60.017974732387
2003-09-01,60.1385128215102
2003-10-01,60.2582984739541
2003-11-01,60.4230025711899
2003-12-01,61.2164873095799
2004-01-01,61.1440003046187
2004-02-01,61.1759680291881
2004-03-01,61.6917487156448
2004-04-01,62.0848894224764
2004-05-01,61.8245956187227
2004-06-01,61.980156239733
2004-07-01,62.649414789278
2004-08-01,62.6776495432009
2004-09-01,63.0266461743384
2004-10-01,63.1645603149254
2004-11-01,63.6426598142901
2004-12-01,63.4800609051189
2005-01-01,63.7146818138008
2005-02-01,64.090042650097
2005-03-01,63.913700635534
2005-04-01,63.9889163797664
2005-05-01,64.5210680724989
2005-06-01,64.7121796478464
2005-07-01,64.7894635122926
2005-08-01,65.2084383004185
2005-09-01,65.1690174325873
2005-10-01,65.9209379840889
2005-11-01,65.6257654212614
2005-12-01,66.8058199231018
2006-01-01,66.9614072246957
2006-02-01,66.7446651987854
2006-03-01,66.5118748841586
2006-04-01,67.6614650423636
2006-05-01,68.2345742037429
2006-06-01,67.9811805701927
2006-07-01,68.2988105216982
2006-08-01,68.1479694807823
2006-09-01,69.01199907877
2006-10-01,69.3667472088377
2006-11-01,69.533037364034
2006-12-01,70.7589215771418
2007-01-01,69.8802025128078
2007-02-01,70.597038831822
2007-03-01,71.4508603036442
2007-04-01,70.9359175246309
2007-05-01,71.2274275778599
2007-06-01,71.8606035894638
2007-07-01,71.6428449904305
2007-08-01,72.9135941803269
2007-09-01,72.3881378609955
2007-10-01,72.8397743397431
2007-11-01,73.1978302224209
2007-12-01,72.1106947544946
2008-01-01,73.7043307702672
2008-02-01,74.1851962550157
2008-03-01,74.1600783148308
2008-04-01,75.3357984382866
2008-05-01,75.2760101038164
