DATE,MEXCPIALLMINMEI
1975-09-01,0.0255765158274324
1975-10-01,0.025707503323442
1975-11-01,0.0258876103926382
1975-12-01,0.026098822780498
1976-01-01,0.0266031154807542
1976-02-01,0.02710085969296
1976-03-01,0.0273661030196158
1976-04-01,0.0275576699433272
1976-05-01,0.0277508739886228
1976-06-01,0.0278622101093819
1976-07-01,0.0280979852389571
1976-08-01,0.0283665028104948
1976-09-01,0.0293341601585545
1976-10-01,0.0309862113666804
1976-11-01,0.0323861162242487
1976-12-01,0.0331982233354402
1977-01-01,0.0342559342185276
1977-02-01,0.0350123732693402
1977-03-01,0.0356230907247461
1977-04-01,0.036161768898793
1977-05-01,0.0364794060418026
1977-06-01,0.0369263935592388
1977-07-01,0.0373439128795944
1977-08-01,0.0381101746624812
1977-09-01,0.0387863888214435
1977-10-01,0.0390827433778649
1977-11-01,0.0395100795200495
1977-12-01,0.0400569433045864
1978-01-01,0.0409476440962904
1978-02-01,0.041535441842666
1978-03-01,0.0419676893513167
1978-04-01,0.0424343282440033
1978-05-01,0.0428502045316739
1978-06-01,0.0434396394004904
1978-07-01,0.0441764329862978
1978-08-01,0.044616872014827
1978-09-01,0.0451260760815491
1978-10-01,0.0456729398660849
1978-11-01,0.0461428470925514
1978-12-01,0.0465341665496075
1979-01-01,0.0481862177577322
1979-02-01,0.0488788031368178
1979-03-01,0.0495419144085788
1979-04-01,0.0499856276828466
1979-05-01,0.0506405592543628
1979-06-01,0.0512021571374388
1979-07-01,0.0518226973249201
1979-08-01,0.0526069733614732
1979-09-01,0.0532520762906698
1979-10-01,0.0541820739209149
1979-11-01,0.0548795706673233
1979-12-01,0.0558504963500208
1980-01-01,0.0585733554173323
1980-02-01,0.0599274149465947
1980-03-01,0.0611603156221681
1980-04-01,0.0622294804495254
1980-05-01,0.0632446202491887
1980-06-01,0.0644988035113504
1980-07-01,0.0662998505589069
1980-08-01,0.0676735555531745
1980-09-01,0.0684250891469094
1980-10-01,0.0694615056229181
1980-11-01,0.0706665752238519
1980-12-01,0.0725200160869055
1981-01-01,0.0748564670636258
1981-02-01,0.0766951738289958
1981-03-01,0.0783357592715045
1981-04-01,0.0801024267555144
1981-05-01,0.0813140389333964
1981-06-01,0.0824503375867499
1981-07-01,0.0839026362606732
1981-08-01,0.0856316440260115
1981-09-01,0.0872247529288754
1981-10-01,0.0891600617164654
1981-11-01,0.0908759665954603
1981-12-01,0.0933221165713556
1982-01-01,0.0979589959294213
1982-02-01,0.101808330918012
1982-03-01,0.105526672499491
1982-04-01,0.111245819571259
1982-05-01,0.117498733451464
1982-06-01,0.123158932308582
1982-07-01,0.129505173967839
1982-08-01,0.144037989351102
1982-09-01,0.151726830685108
1982-10-01,0.159592498933182
1982-11-01,0.167661193958626
1982-12-01,0.185565245583278
1983-01-01,0.205756628613179
1983-02-01,0.216798691934049
1983-03-01,0.227292254348799
1983-04-01,0.241682622382396
1983-05-01,0.252164724942631
1983-06-01,0.261713555627739
1983-07-01,0.274653262108996
1983-08-01,0.285313828705741
1983-09-01,0.294094760486378
1983-10-01,0.303853160527517
1983-11-01,0.321698275757154
1983-12-01,0.335461555114363
1984-01-01,0.356772865575779
1984-02-01,0.37560200346507
1984-03-01,0.391655888470694
1984-04-01,0.408598837144725
1984-05-01,0.422147629869193
1984-06-01,0.437425430358999
1984-07-01,0.451765047608069
1984-08-01,0.464606514943809
1984-09-01,0.478446750859089
1984-10-01,0.49516375304672
1984-11-01,0.512157458415521
1984-12-01,0.533909207906324
1985-01-01,0.573514252327009
1985-02-01,0.597340477801656
1985-03-01,0.620487220783562
1985-04-01,0.639579964877923
1985-05-01,0.654731689238186
1985-06-01,0.671129411250121
1985-07-01,0.694502100719282
1985-08-01,0.724864497653601
1985-09-01,0.753813886844006
1985-10-01,0.782448913135426
1985-11-01,0.818548459574688
1985-12-01,0.874272885704552
1986-01-01,0.95156731713444
1986-02-01,0.993872295004018
1986-03-01,1.04006753591292
1986-04-01,1.09436749444436
1986-05-01,1.15518233593778
1986-06-01,1.22933311473512
1986-07-01,1.29067190030404
