country,Date,C,X,GDP,M,I,Q,Y,time,population,log_population,TB,TBGDP,IGDP,C_growth,GDP_growth,I_growth,C_cycle,GDP_cycle,I_cycle,TBGDP_cycle,C_linear_cycle,GDP_linear_cycle,I_linear_cycle,TBGDP_linear_cycle
Mexico,Q1 1999,-3.9139984891739896,0.006990383849825425,-3.4537636007765884,0.006989829533062875,-5.036708550125128,1,1999,1999-01-01,96334809.9999999,18.383340286010835,5.5431676255005e-07,1.752703627403112e-05,0.20536940428032546,,,,-0.007934302972338436,-0.002433273860730889,0.05434379852753324,0.0018120387709896488,,,,
Mexico,Q2 1999,-3.898322688542424,0.007166248844407207,-3.4437491097729183,0.007370870428267225,-5.025074371866788,2,1999,1999-04-01,95940514.33708939,18.37923891505248,-0.00020462158386001794,-0.006405494717975181,0.20570230801412662,,,,-0.0005876721773012683,0.0033757808124001976,0.059073367997686255,-0.0018702434642352238,,,,
Mexico,Q3 1999,-3.8779984916494246,0.007353758651595752,-3.4299244471264587,0.007741627209410475,-5.019094634266832,3,1999,1999-07-01,95547832.51521714,18.375137544094123,-0.0003878685578147228,-0.011975174100483781,0.20409490205916775,,,,0.01154922935381153,0.01336004656258405,0.05916439125225281,-0.004717492083261803,,,,
Mexico,Q4 1999,-3.8647948016764078,0.007532794470940228,-3.4166901352300165,0.008082565198091798,-4.997813226438757,4,1999,1999-10-01,95156757.92897758,18.37103617313577,-0.0005497707271515696,-0.016750635332325146,0.20574389923593625,,,,0.01676926300696735,0.023144929613513554,0.07563611271316972,-0.006831112442908122,,,,
Mexico,Q1 2000,-3.8711759707206275,0.007599811397253194,-3.42616744302861,0.008362077426478978,-4.992959828984128,1,2000,2000-01-01,97873442.00000007,18.399185793885454,-0.0007622660292257843,-0.0234461846115825,0.2087135824174608,,,,0.002662622983950147,0.010626739607569657,0.07678500756977868,-0.010964743444450017,,,,
Mexico,Q2 2000,-3.846512034210305,0.0078593983445943,-3.4072717225179825,0.008618244990493433,-4.978427310873577,2,2000,2000-04-01,97486495.32784946,18.3952244169168,-0.0007588466458991333,-0.022904105018689943,0.20780490662350956,,,,0.01990333936619537,0.026893237555399185,0.08869709007190263,-0.007995731426237397,,,,
Mexico,Q3 2000,-3.824726186240478,0.008141400821648518,-3.3931528758551575,0.009248268033617292,-4.972008821256738,3,2000,2000-07-01,97101078.46525693,18.391263039948143,-0.0011068672119687734,-0.03293996194057991,0.2062108798109429,,,,0.03461061942895549,0.03879099259411234,0.0935101036606305,-0.01576785206846571,,,,
Mexico,Q4 2000,-3.809630259851163,0.008275150863699794,-3.3978868834468337,0.009375106363847488,-4.995461528801265,4,2000,2000-10-01,96717185.36405829,18.38730166297949,-0.0010999555001476938,-0.032889603606211654,0.20238678294536017,,,,0.04300259191540201,0.03222368733767089,0.0693423365777388,-0.013640166561215836,,,,
Mexico,Q1 2001,-3.8364056858540243,0.007939869743822705,-3.424895161945325,0.008909628690131573,-5.064977339206064,1,2001,2001-01-01,99394287.99999997,18.414605205186906,-0.0009697589463088675,-0.029790436363899376,0.19396410219734392,,,,0.00990615615991386,0.0037253237840526587,-0.00018110378103930458,-0.00866343930638079,,,,
Mexico,Q2 2001,-3.8317873772116724,0.007909702734789739,-3.4264264222021943,0.008749291923833736,-5.097579029638078,2,2001,2001-04-01,99011875.19417167,18.410750352361543,-0.0008395891890439974,-0.02583122043585248,0.1880302156665605,,,,0.008567852725980263,0.0009824699273996984,-0.032309320448367096,-0.0030312634756480515,,,,
